Year,Solid fuel - industry,Solid fuel - transport,Solid fuel - domestic,Solid fuel - services,Solid fuel - total,Petroleum - industry,Petroleum - transport,Petroleum - domestic,Petroleum - services,Petroleum - total,Natural gas - industry,Natural gas - transport,Natural gas - domestic,Natural gas - services,Natural gas - total,Bioenergy & waste - industry,Bioenergy & waste - transport,Bioenergy & waste - domestic,Bioenergy & waste - services,Bioenergy & waste - total,Electricity - industry,Electricity - transport,Electricity - domestic,Electricity - services,Electricity - total,Total - industry,Total - transport,Total - domestic,Total - services,Total - total
1970,"45,573",899,"38,262","14,260","98,994","37,758","31,515","9,798","13,296","92,366","2,808",1,"6,979","1,511","11,300",0,0,0,0,0,"2,820",107,"2,976","1,532","7,435","88,959","32,522","58,015","30,599","210,095"
1971,"40,284",745,"34,486","12,216","87,732","37,250","31,998","10,648","13,647","93,543","6,219",9,"9,768","2,224","18,220",0,0,0,0,0,"2,846",107,"3,127","1,593","7,672","86,599","32,858","58,029","29,680","207,167"
1972,"34,345",584,"31,165","10,753","76,847","38,944","33,014","13,426","14,828","100,212","10,297",22,"12,569","2,967","25,855",0,0,0,0,0,"2,925",106,"3,474","1,697","8,203","86,512","33,726","60,633","30,245","211,116"
1973,"37,748",597,"33,028","11,862","83,235","38,626","35,425","12,826","14,623","101,501","12,204",8,"12,806","2,956","27,974",0,0,0,0,0,"2,840",92,"3,238","1,626","7,797","91,419","36,122","61,899","31,067","220,506"
1974,"32,206",552,"30,419","10,101","73,278","34,362","34,036","12,782","13,147","94,327","14,297",33,"15,281","3,849","33,460",0,0,0,0,0,"3,311",119,"4,046","1,850","9,326","84,176","34,740","62,528","28,948","210,391"
1975,"32,822",612,"29,600","10,683","73,716","29,229","33,319","10,130","12,285","84,963","14,315",31,"16,644","4,070","35,060",0,0,0,0,0,"2,994",115,"3,544","1,799","8,453","79,359","34,076","59,918","28,838","202,191"
1976,"34,644",641,"28,409","11,323","75,016","28,290","34,604","8,604","11,982","83,480","15,685",23,"17,083","4,398","37,188",0,0,0,0,0,"3,731",133,"3,928","2,160","9,952","82,349","35,400","58,024","29,863","205,636"
1977,"33,783",654,"28,829","11,997","75,263","28,333","35,384","8,734","12,659","85,110","16,569",18,"18,342","4,597","39,526",0,0,0,0,0,"4,084",146,"4,277","2,465","10,973","82,769","36,203","60,182","31,718","210,872"
1978,"32,615",658,"27,713","12,335","73,321","28,332","37,273","8,994","12,578","87,177","16,402",12,"19,721","4,864","40,999",0,0,0,0,0,"3,847",135,"3,931","2,387","10,300","81,196","38,078","60,359","32,164","211,798"
1979,"35,081",686,"29,539","13,507","78,814","28,197","38,391","8,622","12,470","87,681","17,029",7,"22,435","5,448","44,919",0,0,0,0,0,"3,944",133,"4,041","2,479","10,597","84,252","39,218","64,637","33,904","222,011"
